PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT_x,MIN,FGM,FGA,FG_PCT_x,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,W_PCT_y,TS_PCT,USG_PCT,PIE,FG_PCT_y,NET_RATING,AST_PCT,REB_PCT,FG3A_RATE,PTS_PER_SHOT,STL_per36,BLK_per36,OREB_per36,DREB_per36,PFD_per36,TOV_per36
1631260,AJ Green,AJ,1610612749,MIL,25.0,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,86,62,362,164,152,231,220,353,58,77,37,364,372,180,381,227,261,215,286,235,370,99,498,290,214,62,247,281,44,225,1,0.603,0.621,0.123,0.058,0.429,6.4,0.086,0.051,0.8561320754716981,1.275943396226415,0.802824753763241,0.15188576422547803,0.3905633937226578,3.3848827455963675,1.0848983158962717,0.8679186527170173
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,51,33,18,0.647,1446.7166666666667,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,73,23,14,37,82,137,748,301,1328.4,3,0,1308.0,275,166,211,101,185,150,182,79,191,222,24,89,93,196,104,206,173,128,180,329,265,451,301,107,139,41,183,134,44,181,1,0.647,0.65,0.186,0.104,0.531,9.5,0.143,0.086,0.3460764587525151,1.5050301810865192,0.5723304494084306,0.3483750561616534,1.9907146066380192,4.155616741356865,3.409098763867608,1.8165270785571928
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,45,29,16,0.644,1121.6183333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,318,212,189,102,250,223,238,116,168,200,34,189,224,33,261,251,256,336,303,252,225,349,396,213,214,72,259,281,44,251,1,0.644,0.653,0.171,0.087,0.507,8.5,0.063,0.078,0.5145118733509235,1.4274406332453826,1.1233767874098588,0.5456401538847885,1.1875697466904218,4.525603629279717,2.471428932301689,1.1875697466904218
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,51,4,168,25,139,95,97,156,83,93,125,187,204,140,103,130,127,168,192,119,216,462,351,235,97,9,123,159,44,119,1,0.816,0.596,0.2,0.105,0.488,14.2,0.102,0.081,0.46565934065934067,1.2554945054945055,1.2386031309134697,0.3715809392740409,1.672114226733184,4.417684500258042,1.4037502150352656,1.4243936005504902
201143,Al Horford,Al,1610612738,BOS,39.0,60,44,16,0.733,1658.5733333333333,195,461,0.423,114,314,0.363,34,38,0.895,79,290,369,128,46,36,51,8,81,35,538,397,1387.8,7,0,1323.0,206,62,189,61,153,220,207,378,105,108,201,300,331,45,107,76,80,177,267,244,56,187,295,340,217,20,170,87,44,177,1,0.733,0.563,0.136,0.091,0.423,11.5,0.102,0.106,0.6811279826464208,1.1670281995661604,0.7813944514562717,1.106975472896385,1.7147267129179296,6.294566414508855,0.7596890500269308,0.9984484657496805
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,54,44,10,0.815,1040.635,140,314,0.446,60,170,0.353,42,51,0.824,38,121,159,137,37,87,30,14,102,62,382,321,1092.3,0,0,972.0,258,62,117,26,266,275,269,291,222,224,235,287,291,156,254,275,282,161,303,35,132,268,358,252,276,35,228,281,44,249,1,0.815,0.568,0.147,0.101,0.446,15.0,0.171,0.072,0.5414012738853503,1.21656050955414,3.0097008076799265,1.0378278647172159,1.31458196197514,4.185905721026105,2.144844253748913,1.2799876998178996
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,67,13,54,0.194,1814.2283333333332,326,828,0.394,105,341,0.308,112,165,0.679,124,311,435,161,114,44,101,39,146,123,869,-546,1953.5,10,0,1860.0,147,382,557,527,126,105,78,455,124,90,365,120,102,427,49,63,54,134,82,197,11,462,473,127,106,566,88,62,44,89,1,0.194,0.482,0.23,0.084,0.394,-13.7,0.139,0.108,0.41183574879227053,1.0495169082125604,0.8730984798863062,2.0041578742844757,2.460550261497772,6.171218801014573,2.440707114227629,2.2621187887963385
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,76,52,24,0.684,2394.9766666666665,567,1143,0.496,21,90,0.233,296,428,0.692,262,524,786,372,194,84,61,84,209,406,1451,410,3193.2,45,4,2920.0,51,19,291,77,35,21,26,143,336,294,455,20,11,403,6,12,8,31,21,39,43,565,560,6,27,17,11,7,9,15,1,0.684,0.545,0.259,0.153,0.496,7.6,0.238,0.153,0.07874015748031496,1.2694663167104112,1.2626427814884766,0.9169191627475842,3.938242961309296,7.876485922618592,6.102773443860971,2.916103566771006
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,69,43,26,0.623,2225.415,388,697,0.557,25,91,0.275,169,247,0.684,192,372,564,265,138,97,89,45,167,175,970,268,2464.3,21,3,2196.0,129,75,315,134,57,76,101,65,315,292,417,70,55,416,14,32,22,70,59,21,18,489,522,74,91,50,46,28,11,61,1,0.623,0.602,0.172,0.129,0.557,6.3,0.167,0.118,0.13055954088952654,1.3916786226685796,1.5691455301595432,1.4397314658164881,3.105937544233323,6.017753991952063,2.8309326575043308,2.2323926099177007
1629599,Amir Coffey,Amir,1610612746,LAC,28.0,72,41,31,0.569,1747.54,240,510,0.471,101,247,0.409,115,129,0.891,32,129,161,77,45,40,7,27,120,95,696,-66,1100.7,0,0,1129.0,95,83,395,214,137,177,176,208,137,160,61,117,143,52,290,266,277,277,270,214,370,395,415,179,156,404,226,281,44,213,1,0.569,0.614,0.15,0.072,0.471,-1.4,0.065,0.046,0.4843137254901961,1.3647058823529412,0.8240154731794409,0.14420270780640213,0.6592123785435526,2.6574499010036967,1.9570367488011722,0.9270174073268709
